,speed_score,unidir_ahv_score,bidir_ahv_score,theta_score,hd_score,grid_score,speed_cell,unidir_ahv_cell,bidir_ahv_cell,theta_cell,hd_cell,grid_cell
0,0.02877912660572795,-0.015712969794816997,-0.004204853235757629,3.8142940857301806,0.7837379324485891,-0.10325612904735428,0.0,False,0.0,0.0,1.0,0.0
1,0.1258825343621108,0.007189811963588214,0.0253426534448248,4.979141682473036,0.02917670873808293,0.993945349350354,1.0,False,0.0,0.0,0.0,1.0
2,-0.06715709538583284,0.02955879786227641,-0.0015221245170719154,3.224364053570817,0.6259846965348066,-0.1030233085101706,0.0,False,0.0,0.0,1.0,0.0
3,0.0261065605213756,0.007545544861852296,0.016429038728804166,5.855700546736751,0.28800089911221183,0.4867941089144984,0.0,False,0.0,1.0,0.0,1.0
4,0.0633858345867048,0.01776327972591197,-0.0023768513722284557,11.332458605272185,0.08892928236013999,1.0647584860578951,0.0,False,0.0,1.0,0.0,1.0
5,0.03436591772990297,0.03951605930878705,0.0069068026297477575,0.9571694188898648,0.042865679020976384,0.05054742069697565,0.0,False,0.0,0.0,0.0,0.0
6,-0.1433143063664045,-0.3494325921411787,0.14493352953929312,7.064963401060457,0.08420875139848648,0.521810610189359,0.0,True,1.0,1.0,0.0,1.0
7,-0.15755436324691982,-0.3228817080672049,0.10526589541058154,7.285287387161741,0.06800375712490757,0.2809260535642389,0.0,True,1.0,1.0,0.0,0.0
8,0.0018871636778269726,0.004170341423510415,-0.005864702684120714,6.203738586265125,0.5144921480872494,-0.15341080452931333,0.0,False,0.0,1.0,1.0,0.0
9,0.033227907054964166,-0.021773977554501,0.05591814121967551,3.9618549722953578,0.6262678920566616,-0.10809297112717167,0.0,False,1.0,0.0,1.0,0.0
10,0.0735942823493482,-0.013735690112991805,0.0043478912672661,7.479080723013606,0.1821438597485888,0.910620983176742,0.0,False,0.0,1.0,0.0,1.0
11,0.0654113299517805,0.0028817034450411244,0.024009969381683687,15.172721070703044,0.31201489442372604,1.2031842657774745,0.0,False,0.0,1.0,0.0,1.0
12,0.118123648481137,0.03254716193794485,-0.010759105878985759,2.591033859342624,0.3885489146096601,-0.0657278955997938,1.0,False,0.0,0.0,1.0,0.0
13,-0.04566257934306103,-0.02291623017299194,-0.0060606849454000146,22.125677609803766,0.263273208170905,-0.054280326006852384,0.0,False,0.0,1.0,0.0,0.0
14,0.01614985080120986,-0.01829867309528942,-0.031852606965902794,6.996538264975014,0.15425477898579815,0.9274046512941388,0.0,False,0.0,1.0,0.0,1.0
15,0.05738731667300374,-0.005197347203905761,-0.009473230146686232,6.9170011564899445,0.3184593138466046,1.241962473546951,0.0,False,0.0,1.0,0.0,1.0
16,-0.0055787212229124064,0.05847888579523055,0.021955528916619785,4.874431118096086,0.8974165003325083,0.4276288256934285,0.0,True,0.0,0.0,1.0,1.0
25,0.026235118010018228,-0.023880268336659283,-0.011940132610674578,4.8103129748598015,0.1910679385293369,1.0998415352300894,0.0,False,0.0,0.0,0.0,1.0
26,-0.01964208328394671,-0.02939389005735097,-0.023275027060883642,8.61621294157448,0.7686469657896668,0.13262710091507374,0.0,False,0.0,1.0,1.0,0.0
27,0.03960749322713044,-0.02598554590499954,-0.01642683045566733,28.242956165672165,0.6425156736276796,0.6838077121663221,0.0,False,0.0,1.0,1.0,1.0
28,0.04368779838258113,0.033097997643755664,0.007314363533755478,17.07945888283944,0.5810168152536885,0.7518423102140287,0.0,False,0.0,1.0,1.0,1.0
